
Load Training Dataset ...
The number of training data is: 4500

Model Initial ...
Do not use pretrain model!
PARAMETER ...
Namespace(amp=True, angRes=5, batch_size=1, channels=64, data_name='HCI_new', decay_rate=0, epoch=50, gamma=0.5, global_batch_size=8, local_rank=0, lr=0.0002, model_name='LFT', n_steps=15, num_workers=4, patch_size_for_test=32, path_for_test='./data/LFSR_processed_rgb/data_for_test/', path_for_train='./data/LFSR_processed_y/data_for_train/', path_log='./log/', path_pre_pth='./pth/LFT_5x5_4x_epoch_50_model.pth', scale_factor=2, stride_for_test=16, use_pre_pth=False)
training with fp16 mode.

Start training...

Epoch 1 /50:
Train - loss: 0.00682, ssim: 34.91568, psnr: 0.95172
Train - loss: 0.00267, ssim: 39.56839, psnr: 0.98894
Train - loss: 0.00494, ssim: 35.84979, psnr: 0.97702
Train - loss: 0.00463, ssim: 38.54022, psnr: 0.96776
Train - loss: 0.00407, ssim: 38.39676, psnr: 0.98057
Train - loss: 0.00822, ssim: 31.65031, psnr: 0.91010
Train - loss: 0.00499, ssim: 36.19039, psnr: 0.97062
Train - loss: 0.00653, ssim: 35.50625, psnr: 0.94439
Train - loss: 0.00373, ssim: 39.52416, psnr: 0.98579
Train - loss: 0.00589, ssim: 36.47669, psnr: 0.95383
Train - loss: 0.00185, ssim: 45.89839, psnr: 0.99475
Train - loss: 0.00681, ssim: 34.76738, psnr: 0.94639
Train - loss: 0.00417, ssim: 37.94648, psnr: 0.97022
Train - loss: 0.00429, ssim: 39.36060, psnr: 0.97079
Train - loss: 0.00533, ssim: 34.72602, psnr: 0.96129
Train - loss: 0.00260, ssim: 43.41340, psnr: 0.99117
Train - loss: 0.00483, ssim: 38.01469, psnr: 0.96305
Train - loss: 0.00219, ssim: 42.22839, psnr: 0.99297
Train - loss: 0.00579, ssim: 34.96263, psnr: 0.96727
Train - loss: 0.00094, ssim: 52.49416, psnr: 0.99849
Train - loss: 0.00264, ssim: 43.12988, psnr: 0.98931
Train - loss: 0.00337, ssim: 40.74657, psnr: 0.98727
Train - loss: 0.00939, ssim: 32.49829, psnr: 0.87728
Train - loss: 0.01069, ssim: 28.77945, psnr: 0.94806
Train - loss: 0.00756, ssim: 34.17360, psnr: 0.93559
Train - loss: 0.00658, ssim: 32.59630, psnr: 0.95142
Train - loss: 0.00422, ssim: 37.89494, psnr: 0.99219
Train - loss: 0.00562, ssim: 35.18933, psnr: 0.97081
Train - loss: 0.00439, ssim: 38.33717, psnr: 0.97660
Train - loss: 0.00640, ssim: 33.74605, psnr: 0.95008
Train - loss: 0.00636, ssim: 34.66639, psnr: 0.96481
Train - loss: 0.00763, ssim: 34.06376, psnr: 0.92314
Train - loss: 0.00232, ssim: 40.67533, psnr: 0.99785
Train - loss: 0.00413, ssim: 37.20093, psnr: 0.98405
Train - loss: 0.00915, ssim: 32.68148, psnr: 0.88639
Train - loss: 0.00521, ssim: 37.16012, psnr: 0.97189
Train - loss: 0.00472, ssim: 35.94566, psnr: 0.96816
Train - loss: 0.00689, ssim: 35.00702, psnr: 0.93782
Train - loss: 0.00190, ssim: 45.78374, psnr: 0.99439
Train - loss: 0.00611, ssim: 34.70060, psnr: 0.97424
Train - loss: 0.00328, ssim: 41.28423, psnr: 0.98361
Train - loss: 0.00314, ssim: 40.65242, psnr: 0.99077
Train - loss: 0.00270, ssim: 42.82089, psnr: 0.98972
Train - loss: 0.00407, ssim: 38.90505, psnr: 0.97777
Train - loss: 0.00256, ssim: 42.85949, psnr: 0.98883
Train - loss: 0.00446, ssim: 37.86010, psnr: 0.98209
Train - loss: 0.01156, ssim: 29.63262, psnr: 0.91980
Train - loss: 0.01008, ssim: 31.39922, psnr: 0.90109
The 3th Train, loss is: 0.00519, psnr is 38.05996, ssim is 0.96524
Saving the epoch_03 model at log/SR_5x5_2x/LFT/HCI_new/checkpoints/LFT_5x5_2x_epoch_03_model.pth

Epoch 4 /50:
Train - loss: 0.00851, ssim: 31.57387, psnr: 0.90884
Train - loss: 0.00092, ssim: 52.57821, psnr: 0.99855
Train - loss: 0.00801, ssim: 31.28818, psnr: 0.94540
Train - loss: 0.00252, ssim: 42.68486, psnr: 0.98796
Train - loss: 0.00277, ssim: 41.93122, psnr: 0.99214
Train - loss: 0.00153, ssim: 45.78271, psnr: 0.99637
Train - loss: 0.00255, ssim: 43.64609, psnr: 0.98894
Train - loss: 0.00136, ssim: 48.74408, psnr: 0.99754
Train - loss: 0.00425, ssim: 37.92069, psnr: 0.98311
Train - loss: 0.00090, ssim: 52.76345, psnr: 0.99860
Train - loss: 0.01058, ssim: 31.53947, psnr: 0.89791
Train - loss: 0.00528, ssim: 33.90382, psnr: 0.97409
Train - loss: 0.00190, ssim: 43.20833, psnr: 0.99332
Train - loss: 0.00220, ssim: 44.03986, psnr: 0.99319
Train - loss: 0.00178, ssim: 46.15756, psnr: 0.99571
Train - loss: 0.00824, ssim: 33.13389, psnr: 0.93365
Train - loss: 0.00153, ssim: 47.90413, psnr: 0.99704
Train - loss: 0.00459, ssim: 37.54600, psnr: 0.98507
Train - loss: 0.00138, ssim: 48.57586, psnr: 0.99644
Train - loss: 0.00971, ssim: 31.62305, psnr: 0.90258
Train - loss: 0.00232, ssim: 43.33187, psnr: 0.98878
Train - loss: 0.01324, ssim: 28.45601, psnr: 0.88376
Train - loss: 0.00127, ssim: 48.85877, psnr: 0.99654
Train - loss: 0.00477, ssim: 34.54570, psnr: 0.98022
Train - loss: 0.00465, ssim: 36.54447, psnr: 0.98076
Train - loss: 0.00286, ssim: 42.15845, psnr: 0.98783
Train - loss: 0.00155, ssim: 46.29268, psnr: 0.99533
Train - loss: 0.00122, ssim: 49.61642, psnr: 0.99719
Train - loss: 0.01225, ssim: 29.91416, psnr: 0.92397
Train - loss: 0.00322, ssim: 38.36733, psnr: 0.99351
Train - loss: 0.00342, ssim: 40.63110, psnr: 0.98623
Train - loss: 0.00221, ssim: 41.26756, psnr: 0.99268
Train - loss: 0.00308, ssim: 41.49229, psnr: 0.98709
Train - loss: 0.00376, ssim: 39.80183, psnr: 0.98516
Train - loss: 0.00503, ssim: 36.98534, psnr: 0.98386
Train - loss: 0.00555, ssim: 35.30080, psnr: 0.98228
Train - loss: 0.00282, ssim: 41.56044, psnr: 0.98985
Train - loss: 0.00250, ssim: 43.32447, psnr: 0.99077
Train - loss: 0.00479, ssim: 35.07457, psnr: 0.97758
Train - loss: 0.00313, ssim: 40.15687, psnr: 0.98631
Train - loss: 0.00912, ssim: 32.75589, psnr: 0.88607
Train - loss: 0.00374, ssim: 40.17701, psnr: 0.97844
Train - loss: 0.00261, ssim: 43.02113, psnr: 0.98976
Train - loss: 0.00551, ssim: 37.00909, psnr: 0.95615
Train - loss: 0.00111, ssim: 50.87412, psnr: 0.99789
Train - loss: 0.00444, ssim: 38.39791, psnr: 0.98338
Train - loss: 0.00546, ssim: 35.75890, psnr: 0.96719
Train - loss: 0.00686, ssim: 32.77019, psnr: 0.95860
Train - loss: 0.01201, ssim: 29.87653, psnr: 0.91952
Train - loss: 0.00363, ssim: 40.49409, psnr: 0.97861
Train - loss: 0.00369, ssim: 38.36060, psnr: 0.98552
Train - loss: 0.00308, ssim: 41.60042, psnr: 0.98512
Train - loss: 0.00090, ssim: 52.87209, psnr: 0.99878
Train - loss: 0.00372, ssim: 38.30772, psnr: 0.99321
Train - loss: 0.01072, ssim: 29.31447, psnr: 0.89415
Train - loss: 0.00263, ssim: 43.12754, psnr: 0.99083
Train - loss: 0.00859, ssim: 31.27688, psnr: 0.93372
The 4th Train, loss is: 0.00489, psnr is 38.62211, ssim is 0.96872
Saving the epoch_04 model at log/SR_5x5_2x/LFT/HCI_new/checkpoints/LFT_5x5_2x_epoch_04_model.pth

Epoch 5 /50:
Train - loss: 0.00440, ssim: 38.96611, psnr: 0.97546
Train - loss: 0.01453, ssim: 28.68513, psnr: 0.82962
Train - loss: 0.00667, ssim: 35.25474, psnr: 0.94698
Train - loss: 0.00510, ssim: 37.05077, psnr: 0.97811
Train - loss: 0.00414, ssim: 39.26577, psnr: 0.97050
Train - loss: 0.00664, ssim: 35.10200, psnr: 0.94323
Train - loss: 0.00211, ssim: 44.76736, psnr: 0.99464
Train - loss: 0.00737, ssim: 34.29023, psnr: 0.93599
Train - loss: 0.00537, ssim: 33.14384, psnr: 0.98394
Train - loss: 0.00496, ssim: 34.01342, psnr: 0.97652
Train - loss: 0.00579, ssim: 35.92909, psnr: 0.95615
Train - loss: 0.00454, ssim: 35.71099, psnr: 0.97974
Train - loss: 0.00458, ssim: 38.01628, psnr: 0.98106
Train - loss: 0.00984, ssim: 31.09911, psnr: 0.93487
Train - loss: 0.00540, ssim: 37.16738, psnr: 0.96392
Train - loss: 0.00357, ssim: 38.35546, psnr: 0.99231
Train - loss: 0.00323, ssim: 38.02208, psnr: 0.98888
Train - loss: 0.00576, ssim: 35.66203, psnr: 0.95795
Train - loss: 0.00153, ssim: 43.52574, psnr: 0.99780
Train - loss: 0.00770, ssim: 33.08514, psnr: 0.93379
Train - loss: 0.01082, ssim: 30.34726, psnr: 0.89061
Train - loss: 0.00475, ssim: 37.99394, psnr: 0.97273
Train - loss: 0.00857, ssim: 32.40931, psnr: 0.96578
Train - loss: 0.00454, ssim: 36.00364, psnr: 0.98229
Train - loss: 0.00362, ssim: 38.31398, psnr: 0.98642
Train - loss: 0.00671, ssim: 32.26994, psnr: 0.95100
Train - loss: 0.00502, ssim: 37.70634, psnr: 0.96795
Train - loss: 0.00337, ssim: 40.81336, psnr: 0.98705
Train - loss: 0.00095, ssim: 51.25455, psnr: 0.99873
Train - loss: 0.01324, ssim: 29.60193, psnr: 0.88560
Train - loss: 0.00521, ssim: 37.20356, psnr: 0.96262
Train - loss: 0.00249, ssim: 40.72895, psnr: 0.99574
Train - loss: 0.00456, ssim: 38.57439, psnr: 0.96953
Train - loss: 0.00401, ssim: 37.18857, psnr: 0.98014
Train - loss: 0.00181, ssim: 40.65836, psnr: 0.99603
Train - loss: 0.00240, ssim: 43.69521, psnr: 0.99180
Train - loss: 0.02088, ssim: 25.56715, psnr: 0.77439
Train - loss: 0.00185, ssim: 45.50544, psnr: 0.99556
Train - loss: 0.00500, ssim: 35.94238, psnr: 0.98246
Train - loss: 0.00301, ssim: 39.41105, psnr: 0.99305
Train - loss: 0.00362, ssim: 39.83831, psnr: 0.98278
Train - loss: 0.01178, ssim: 30.52688, psnr: 0.87680
Train - loss: 0.00233, ssim: 42.12178, psnr: 0.99466
